2 2.713735208380967379e+02 -4.104691388842960009e+01 2.713735666731372476e+02 -4.104686666664977679e+01 2.713735208380967379e+02 -4.104696944461514363e+01
3 2.713463874999433756e+02 -4.103598611115788231e+01 2.713464041659608483e+02 -4.103597222211149642e+01 2.713463708339259028e+02 -4.103606388893288681e+01
4 2.713164208340458572e+02 -4.102398055565232937e+01 2.713164375000633299e+02 -4.102394166688124244e+01 2.713164208340458572e+02 -4.102399722213546340e+01
5 2.715467624980956316e+02 -4.111584722287953042e+01 2.715467624980956316e+02 -4.111580000109970712e+01 2.715466958340257406e+02 -4.111581944525241994e+01
6 2.715778000010177493e+02 -4.112807777846852986e+01 2.715777666619978845e+02 -4.112802222228298632e+01 2.715777166709303856e+02 -4.112806388872365204e+01
7 2.712953458342235535e+02 -4.101548055559396744e+01 2.712954083317890763e+02 -4.101550833415240049e+01 2.712953291647136211e+02 -4.101555555593222380e+01
8 2.713070166669785976e+02 -4.102019444440180962e+01 2.713070166669785976e+02 -4.102014722215632503e+01 2.713069833314511925e+02 -4.102018611116024260e+01
9 2.713949208287522197e+02 -4.105523888925090148e+01 2.713949208287522197e+02 -4.105521666696294858e+01 2.713949208287522197e+02 -4.105522499997168495e+01
10 2.714046541741117835e+02 -4.105902777817100002e+01 2.714046541741117835e+02 -4.105902777817100002e+01 2.714047041721642017e+02 -4.105905000045895292e+01
11 2.713142916699871421e+02 -4.102297777781883781e+01 2.713142916699871421e+02 -4.102296388900528257e+01 2.713144708331674337e+02 -4.102299166663239305e+01
